Species,Warmed,NumSeeds,Mass
CN,0,20,0.0679
CN,0,20,0.0666
CN,0,20,0.0655
CN,0,20,0.0643
CN,0,20,0.0633
CN,0,20,0.0625
CN,0,20,0.0620
CN,0,20,0.0616
CN,0,20,0.0608
CN,0,20,0.0605
CN,0,20,0.0602
CN,0,20,0.0601
CN,0,20,0.0600
CN,0,20,0.0599
CN,0,20,0.0599
CN,0,20,0.0596
CN,0,20,0.0595
CN,0,20,0.0594
CN,0,20,0.0594
CN,0,20,0.0590
CN,0,20,0.0590
CN,0,20,0.0588
CN,0,20,0.0587
CN,0,20,0.0582
CN,0,20,0.0581
CN,0,20,0.0581
CN,0,20,0.0574
CN,0,20,0.0573
CN,0,20,0.0557
CN,0,20,0.0528
CN,1,20,0.0709
CN,1,20,0.0677
CN,1,20,0.0674
CN,1,20,0.0662
CN,1,20,0.0661
CN,1,20,0.0658
CN,1,20,0.0653
CN,1,20,0.0650
CN,1,20,0.0648
CN,1,20,0.0648
CN,1,20,0.0645
CN,1,20,0.0644
CN,1,20,0.0644
CN,1,20,0.0638
CN,1,20,0.0633
CN,1,20,0.0631
CN,1,20,0.0629
CN,1,20,0.0627
CN,1,20,0.0627
CN,1,20,0.0625
CN,1,20,0.0624
CN,1,20,0.0620
CN,1,20,0.0619
CN,1,20,0.0615
CN,1,20,0.0611
CN,1,20,0.0609
CN,1,20,0.0606
CN,1,20,0.0600
CN,1,20,0.0599
CN,1,20,0.0583
CA,0,20,0.0338
CA,0,20,0.0328
CA,0,20,0.0322
CA,0,20,0.0320
CA,0,20,0.0319
CA,0,20,0.0319
CA,0,20,0.0314
CA,0,20,0.0311
CA,0,20,0.0310
CA,0,20,0.0309
CA,0,20,0.0308
CA,0,20,0.0308
CA,0,20,0.0306
CA,0,20,0.0305
CA,0,20,0.0303
CA,0,20,0.0300
CA,0,20,0.0299
CA,0,20,0.0299
CA,0,20,0.0298
CA,0,20,0.0291
CA,0,20,0.0286
CA,0,20,0.0284
CA,0,20,0.0283
CA,0,20,0.0281
CA,0,20,0.0277
CA,0,20,0.0272
CA,0,20,0.0270
CA,0,20,0.0269
CA,0,20,0.0268
CA,0,20,0.0267
CA,1,20,0.0345
CA,1,20,0.0343
CA,1,20,0.0339
CA,1,20,0.0333
CA,1,20,0.0331
CA,1,20,0.0330
CA,1,20,0.0329
CA,1,20,0.0324
CA,1,20,0.0323
CA,1,20,0.0320
CA,1,20,0.0318
CA,1,20,0.0318
CA,1,20,0.0318
CA,1,20,0.0317
CA,1,20,0.0317
CA,1,20,0.0311
CA,1,20,0.0308
CA,1,20,0.0307
CA,1,20,0.0302
CA,1,20,0.0302
CA,1,20,0.0301
CA,1,20,0.0300
CA,1,20,0.0299
CA,1,20,0.0297
CA,1,20,0.0296
CA,1,20,0.0296
CA,1,20,0.0291
CA,1,20,0.0289
CA,1,20,0.0284
CA,1,20,0.0281
